student_id,term_number,course_name,grade
4534,750,Operations Management,A
9792,750,Operations Management,A
9958,750,Operations Management,A
10255,750,Strategic Management,B
4534,750,Strategic Management,B
1087,750,Strategic Management,C
9486,750,Software: PhotoShop Intermediate,A
8333,750,Introduction to Manufacturing,B
8333,750,Wood Technology,A
8333,750,Technical Drafting,B
8333,750,Introduction to Metals Processes,B
1921,750,Introduction to Mass Media,A
6714,750,Introduction to Mass Media,B
7437,750,Introduction to Mass Media,B
944,750,Business Communication,A
4074,750,Business Communication,A
9486,750,Photography II,A
7370,750,Applied Communication,A
5891,750,Introductory Chemistry,B
2945,750,Survey of General Chemistry,B
4629,750,Survey of General Chemistry,C
6000,750,Survey of General Chemistry,B
5262,750,Chemistry for Engineers,C
5969,750,Chemistry for Engineers,F
6325,750,Chemistry for Engineers,C
2614,750,Chemistry for Engineers,C
2552,750,Chemistry for Engineers,C
4886,750,Introduction to Programming,C
7744,750,Introduction to Programming,F
5106,750,Introduction to Programming,B
8333,750,Introduction to Programming,B
3461,750,Introduction to Programming,A
9594,750,Introduction to Programming,B
2781,750,Introduction to Programming,B
3921,750,Introduction to Programming,A
1075,750,Introduction to Programming,B
2680,750,Introduction to Programming,A
1596,750,Programming in C++,F
2614,750,Programming in C++,B
1672,750,Programming in C++,B
1603,750,Programming in C++,C
5613,750,Programming in C++,C
10419,750,Programming in C++,C
3061,750,Programming in C++,B
6235,750,Programming in C++,C
1114,750,Programming in C++,D
1921,750,Programming in C++,D
6455,750,Programming in C++,F
909,750,Programming in C++,C
10420,750,Programming in C++,C
9411,750,Programming in C++,F
3714,750,Programming in C++,B
9905,750,Programming in C++,B
6870,750,Programming in C++,D
6395,750,Programming in C++,D
4624,750,Programming in C++,B
6477,750,Programming in C++,B
5633,750,Programming in C++,D
5341,750,Programming in C++,B
128,750,Programming in C++,B
7763,750,Programming in C++,D
8444,750,Programming in C++,B
1665,750,Programming in C++,C
1500,750,Programming in C++,A
6237,750,Programming in C++,F
7638,750,Programming in C++,A
4104,750,Programming in C++,B
5676,750,Programming in C++,B
7778,750,Programming in C++,C
10518,750,Programming in C++,B
6307,750,Programming in C++,C
8134,750,Programming in C++,C
4629,750,Microcomputer Applications,B
331,750,Microcomputer Applications,B
8134,750,Microcomputer Applications,B
537,750,Programming in COBOL,F
5887,750,Programming in COBOL,B
9554,750,Programming in COBOL,B
1253,750,Programming in COBOL,C
3852,750,Programming in COBOL,B
7288,750,Programming in COBOL,C
1978,750,Programming in COBOL,A
8706,750,Programming in COBOL,B
3926,750,Programming in COBOL,B
2425,750,Programming in COBOL,C
7803,750,Programming in COBOL,C
8136,750,Programming in COBOL,F
5694,750,Programming in COBOL,C
2197,750,Programming in COBOL,D
3760,750,Programming in COBOL,F
5613,750,Programming in COBOL,F
284,750,Programming in COBOL,F
725,750,Programming in COBOL,C
3816,750,Programming in COBOL,B
9263,750,Programming in COBOL,C
8631,750,Programming in COBOL,C
1251,750,Programming in COBOL,C
5654,750,Programming in COBOL,C
6382,750,Programming in COBOL,D
944,750,Programming in COBOL,C
4043,750,Programming in COBOL,B
1553,750,Programming in COBOL,B
2824,750,Programming in COBOL,C
2746,750,Programming in COBOL,B
4629,750,Programming in COBOL,C
7142,750,Programming in COBOL,B
6118,750,Programming in COBOL,A
6943,750,Programming in COBOL,D
6117,750,Programming in COBOL,F
472,750,Programming in COBOL,F
5740,750,Programming in COBOL,C
4727,750,Programming in COBOL,F
8670,750,Programming in COBOL,F
8857,750,Programming in COBOL,B
4788,750,Programming in COBOL,B
9955,750,Programming in COBOL,B
10448,750,Programming in COBOL,B
8502,750,Programming in COBOL,B
5621,750,Programming in COBOL,B
8163,750,Programming in COBOL,C
3270,750,Programming in COBOL,F
3852,750,Object-Oriented Programming and Data Structures I,B
1503,750,Object-Oriented Programming and Data Structures I,C
4727,750,Object-Oriented Programming and Data Structures I,F
8502,750,Object-Oriented Programming and Data Structures I,B
8163,750,Object-Oriented Programming and Data Structures I,B
8631,750,Object-Oriented Programming and Data Structures I,C
1251,750,Object-Oriented Programming and Data Structures I,B
2782,750,Object-Oriented Programming and Data Structures I,C
8724,750,Object-Oriented Programming and Data Structures I,C
6943,750,Object-Oriented Programming and Data Structures I,F
6117,750,Object-Oriented Programming and Data Structures I,D
472,750,Object-Oriented Programming and Data Structures I,B
5411,750,Computer Architecture/Operating Systems,C
1874,750,Computer Architecture/Operating Systems,D
944,750,Computer Architecture/Operating Systems,C
3718,750,Computer Architecture/Operating Systems,D
3421,750,Computer Architecture/Operating Systems,B
10566,750,Computer Architecture/Operating Systems,B
10255,750,Computer Architecture/Operating Systems,D
992,750,Computer Architecture/Operating Systems,F
425,750,Computer Architecture/Operating Systems,B
9486,750,Computer Architecture/Operating Systems,B
3217,750,Computer Architecture/Operating Systems,D
10233,750,Computer Architecture/Operating Systems,C
4788,750,Computer Architecture/Operating Systems,F
10448,750,Computer Architecture/Operating Systems,F
5810,750,Computer Architecture/Operating Systems,A
6382,750,Computer Architecture/Operating Systems,B
9160,750,Computer Architecture/Operating Systems,B
3926,750,Computer Architecture/Operating Systems,C
6036,750,Computer Architecture/Operating Systems,D
9277,750,Computer Architecture/Operating Systems,C
